rank,score,team_name,kaggle_usernames,last_submission,submission_count
87,2525.3,"Reyhan Ksatria",reyhanksatria,2026-08-25 03:01:43,2
88,2525.3,"SpaTaro",tarosqrd2,2026-08-23 14:41:04,2
89,2525.1,"kaggle Osaka",toshiyukitanaka,2026-08-25 02:10:19,2
90,2519.9,"saikyo",kyosaikyo,2026-08-22 16:09:23,2
91,2514.0,"Luan Kunyu",luankunyu,2026-08-21 14:42:27,2
92,2508.8,"Michael Timbs",michaeltimbs,2026-08-16 22:43:17,2
93,2508.4,"Sirui Zeng",siruizeng,2026-08-24 15:35:47,2
94,2507.4,"beijijun",beijijun,2026-08-25 01:41:04,2
95,2506.6,"Efe Can Celiksoy",efecnc,2026-08-13 22:00:41,2
96,2506.5,"dejavucry",dejavucry,weiyun22021,2026-08-24 15:34:54,4
97,2505.9,"webmaking",webmaking,2026-08-19 05:28:56,2
98,2505.5,"Charles Backman on LinkedIn",charlesbackman,2026-08-23 05:03:11,2
99,2505.1,"Hiroyasu Okuno",hiroyasuokuno,2026-08-24 15:11:58,2
100,2503.2,"Forrest",yinxiaogang,2026-08-24 08:54:28,2
101,2503.1,"DL",distiller,2026-08-24 21:32:39,2
102,2503.0,"老乡",hboyang,2026-08-25 02:02:26,2
103,2497.4,"bplyc15",bplyc15,2026-08-20 12:50:53,2
104,2497.3,"Anand",gazzal,2026-08-21 06:00:12,2
105,2492.1,"Syed Asad Ali",syed3000,2026-08-24 09:16:26,2
106,2491.3,"Ryutogrrr",ryutogrrr,2026-08-23 05:16:58,2
107,2489.9,"sam_the_rice_cake",wliilamsam,2026-08-25 01:15:44,2
108,2488.8,"Ueddy",ku0807,2026-08-25 02:25:20,2
109,2488.5,"VanKoha",kohasama,2026-08-24 22:31:38,2
110,2487.1,"tangaii",tangai1,2026-08-25 04:28:03,2
111,2486.2,"ziliangCok",ziliangcok,2026-08-23 15:57:38,2
112,2484.6,"ringbearer",mehmetbarankrat,2026-08-23 15:37:42,2
113,2483.5,"Riva Kajangu",rivakajangu,2026-08-24 21:21:39,2
114,2483.1,"Rayk Kretzschmar",raykkretzschmar,2026-08-23 09:19:02,2
115,2481.7,"A. R. SEKKAT",arsekkat,2026-08-20 13:33:05,1
116,2480.1,"Han Chen",puffohan,2026-08-25 00:52:42,2
117,2477.0,"lingyu07",lingyu07,2026-08-24 12:45:05,2
118,2475.5,"iwance",iwance,2026-08-24 12:23:07,2
119,2470.0,"masayoshi",masayoshi64,2026-08-23 17:08:09,2
120,2469.4,"BorisV",bvoskresenskii,2026-08-24 05:35:19,2
121,2467.8,"ktyser",keithtyser,2026-08-22 21:44:20,2
122,2463.3,"gnanadeepika karanam",gnanadeepikakaranam,2026-08-24 21:01:15,2
123,2461.2,"Zefirrr",zefirrrr,2026-08-20 18:06:39,2
124,2460.3,"Stanley Honkpehedji",stanleyhonkpehedji,2026-08-24 21:40:55,2
125,2458.7,"CroDoc",crodoc,2026-08-24 20:17:00,2
126,2455.9,"Yosif EL-Rammaal",yosifelrammaal,2026-08-23 05:36:13,2
127,2454.6,"Kagamihara",kagamihara,2026-08-24 11:56:26,2
128,2449.9,"JungHwan",najunghwan,2026-08-22 23:52:59,2
129,2446.1,"Jince",jincesaju,2026-08-22 11:06:10,2
130,2445.3,"ArX",arx1993,2026-08-24 09:44:45,2
131,2443.0,"guoziyi123456",ax1lec,guoziyi123456,xuanzhechen,2026-08-25 02:45:16,2
132,2438.8,"Masashi Nishimoto",masashinishimoto,2026-08-25 03:10:49,2
133,2438.4,"supr3mum",friklez,2026-08-24 21:44:27,2
134,2438.3,"桂棹兮兰桨",hdhsjdjd,2026-08-25 03:54:43,2
135,2437.9,"Follow Me Gradient",farukece,2026-08-24 09:46:33,2
136,2437.4,"Hiro Nomo",morinokuma3,2026-08-23 10:57:06,2
137,2433.8,"Lindicaphxag",oblivicore,2026-08-22 01:07:29,2
138,2431.7,"kwon yong deuk",kwonyongdeuk,2026-08-24 12:37:33,2
139,2430.7,"yanjixiang",yanjixiang,2026-08-24 02:39:56,2
140,2430.2,"RuiFSPinto",ruifspinto,2026-08-24 19:12:15,2
141,2428.2,"Timass",timmass2,2026-08-24 21:48:48,2
142,2426.2,"Napier1550",napier1550,2026-08-24 16:13:27,2
143,2422.6,"lucaskna",lucaskna,2026-08-24 21:26:41,2
144,2422.1,"zjukop1",zjukop1,2026-08-25 03:29:28,2
145,2421.9,"Freddy",twoxding,2026-08-23 21:47:05,2
146,2421.8,"extra eclaire",extraeclaire,2026-08-20 05:41:57,2
147,2420.9,"GURU Prasaatha S",guruprasaathas111,2026-08-24 15:59:41,2
148,2413.2,"Orig_lab",chengxixixi,2026-08-23 18:39:17,2
149,2412.4,"Jun AKita",junakita,2026-08-22 22:03:19,2
150,2410.9,"Nuri DUDAK",nuridudak,2026-08-25 05:24:18,2
151,2409.7,"nofreewill42",nofreewill,2026-08-24 06:41:31,2
152,2409.0,"Cengizhan Tümer",cengizhantmer,2026-08-24 14:20:00,2
153,2408.2,"lvisdd",lvisdd,2026-08-21 20:51:08,2
154,2407.9,"Shadow",uziahmd,2026-08-21 01:15:15,2
155,2407.7,"chocolat",chocolatnya999,2026-08-25 04:04:42,2
156,2405.3,"TheMightiestMan",themightiestman,2026-08-24 20:16:02,2
157,2396.0,"wennan cao",wennancao,2026-08-24 14:14:47,2
158,2395.9,"shyjin",shyjin,2026-08-24 22:55:12,2
159,2391.7,"Will English",dubascudes,2026-08-18 17:13:22,2
160,2388.1,"ShoaibSSM",naveenlx111249971939,shoaibssm,2026-08-21 07:26:50,2
161,2387.7,"yjshyfy",yjshyfy,2026-08-24 07:12:35,2
162,2387.4,"Sai Reddy Pothireddy",saireddypothireddy,2026-08-24 20:35:28,2
163,2385.4,"Anaconda",anaconda,2026-08-23 14:38:19,2
164,2383.9,"Cindy Meng90",cindymeng90,2026-08-24 02:51:31,2
165,2381.1,"SCNU",jasonxusk,2026-08-22 16:44:56,2
166,2378.2,"UnknownRobi",canrobichaud,2026-08-23 22:58:07,2
167,2376.3,"THeLAB",feuorme,2026-08-17 18:55:16,2
168,2374.5,"Yunho Hwang",yunhohwang,2026-08-23 02:43:26,2
169,2372.0,"Boredom",cudacoding,2026-08-23 13:29:09,2
170,2371.3,"Ryui68925",ryui68925,2026-08-24 16:22:30,2
171,2369.4,"Excluding",excluding,2026-08-24 11:37:13,2
172,2369.3,"Jay",jayshimada,2026-08-20 00:34:34,2
173,2369.0,"denden12",denden12,2026-08-22 08:02:48,2
174,2366.8,"Patrick Chan",drpatrickchan,2026-08-25 03:36:05,2
175,2366.8,"One-For-All",indarkarhana,2026-08-24 01:22:00,2
176,2365.6,"易研学社",chency17,fengwann,mingyingxin,sjojasdq,tbtbbb,2026-08-20 21:34:21,2
177,2365.4,"hassan",hasankhhan,2026-08-24 13:30:29,2
178,2364.4,"junseok lee",jaslee2,2026-08-25 01:32:10,2
179,2363.6,"Djaafar Lecheheb DL",djaafarlechehebdl,2026-08-23 01:41:00,2
180,2359.5,"10pi",meredith10pi,2026-08-13 20:02:25,2
181,2359.3,"Roumak Das",roumak77,2026-08-25 02:52:21,2
182,2357.7,"Izzoudine Mohamed KANTA",izzoudeenkanta,2026-08-25 04:18:58,2
183,2350.6,"Chiranjieev",abhirajhiwale,amitambhore27,himanshu2605,2026-08-25 00:49:29,2
184,2349.7,"Alexander Gremyakov",alexandergremyakov,2026-08-24 21:17:03,2
185,2348.7,"Zhiqi Liu",crazyqiqi,2026-08-25 02:11:56,2
186,2348.5,"Atakan Aldemir",atakanaldemir,2026-08-24 17:26:43,2
187,2346.9,"mountain Lee111",BNBUDINGSHANLee21,2026-08-22 09:12:30,2
188,2346.5,"Seb (allegedly)",sebmallia,2026-08-23 21:28:18,2
189,2346.4,"iamlonely",iamlonely,2026-08-24 06:31:29,2
190,2342.9,"dunky su",dunkysu,2026-08-23 06:36:50,2
191,2342.6,"solo levelling",munibmemon,2026-08-18 21:08:16,2
192,2340.7,"Kobe BRYANT",kobebryantjohn,2026-08-24 19:23:10,2
193,2339.5,"zxysbsq",qwidndbdjss,2026-08-23 14:08:51,2
194,2338.3,"keniii",kartheeswaran28,2026-08-25 00:29:31,2
195,2335.8,"Meta learners",aditya2909rb,2026-08-23 21:24:06,2
196,2335.7,"ActiveMusyoku",daiki0381,kohei0okazaki,noriyukimori,ryonatori,seipon,2026-08-25 04:02:54,2
197,2331.8,"Hackoholics",limyenhui,richierx,2026-08-24 16:28:40,2
198,2331.4,"Anvith Pothula",anvithpothula,2026-08-21 22:24:16,2
199,2328.9,"darasty",darasty,2026-08-24 23:11:23,2
200,2327.7,"ln",nazarov,2026-08-25 05:43:10,2
201,2327.0,"THIRD FARM CLUB",bowwowforeach,mooegi,shunrcn,simann,2026-08-24 23:22:59,2
202,2322.1,"Fabian Ruiz",fabianruiz3,2026-08-23 22:55:29,2
203,2321.2,"JAZ COLD HORN",evanmaksud,jazivxt,maulikgajera,niazmohaimanabtahi,victorhorn,2026-08-25 04:51:52,2
204,2319.9,"Jeff Marc E. Cadet",jeffmarcecadet,2026-08-20 14:29:18,2
205,2318.2,"durgesh dere",durgeshdere08,2026-08-21 16:10:13,2
206,2317.6,"CemBas",cembas,2026-08-15 02:20:07,2
207,2316.4,"brightest66",brightest66,2026-08-22 01:39:26,2
208,2315.1,"Dariush Afshar",dariushafshar,2026-08-22 09:35:42,2
209,2314.8,"Ryo",ryosukekurakami,2026-08-23 06:41:00,2
210,2314.7,"Adar Cohen",adarcohen,2026-08-24 21:27:43,2
211,2313.1,"Terence0914",terence0914,2026-08-22 19:14:07,2
212,2310.9,"KoRo2_JP",koro2jp,2026-08-23 05:19:40,2
213,2310.4,"JuliaGastellu",juliagastellu,2026-08-24 17:20:56,2
214,2309.3,"Liquidus",liquidus,2026-08-24 22:27:49,2
215,2309.3,"David Pedersen",semalytics,2026-08-24 22:32:46,2
216,2308.2,"Rishi Jain",rishijain07,2026-08-18 07:27:14,2
217,2302.3,"HyperX",diversedharun,harishinkaggle,2026-08-22 12:33:16,2
218,2302.3,"kazusw",kazusw,2026-08-24 09:49:42,2
219,2302.2,"Dr Chandrasen Pandey",devchandra,2026-08-25 03:32:55,2
220,2300.2,"BurntPotato",burntpotato,2026-08-24 16:02:52,2
221,2297.9,"glupez ",glupez,2026-08-22 12:40:37,2
222,2297.8,"Mohamed El-Nageeb",thelastsmilodon,2026-08-24 21:36:05,2
223,2296.1,"RngRng",rngrng,2026-08-25 03:22:50,2
224,2294.1,"RicardoLópez",richi2489,2026-08-24 23:50:06,2
225,2292.8,"maco-macoo",macomacoo,2026-08-22 18:59:44,2
226,2292.2,"Sarthak Sharma ",sarthaksharma14,2026-08-24 18:34:46,2
227,2291.7,"Yichi",yichi02,2026-08-23 11:37:15,2
228,2290.1,"Eddy Despradel",eddydespradel,2026-08-18 00:05:08,2
229,2289.1,"ominteam",luantony,suruikk,2026-08-24 02:16:05,2
230,2283.1,"housssaamos",housssaamos,2026-08-16 19:54:39,2
231,2282.8,"Carson Zhang",zmcddn,2026-08-23 22:30:38,2
232,2281.2,"Yanxi Jiang",yanxijiang,2026-08-24 12:35:42,2
233,2278.8,"CY",aimeny,2026-08-24 05:58:21,2
234,2278.0,"Kyoungwon Jeong",kyoungwonjeong,2026-08-22 07:25:38,2
235,2277.7,"Mathurin Ache",mathurinache,2026-08-25 05:22:21,2
236,2272.4,"ikevayansky",ikevayansky,2026-08-24 23:16:31,2
237,2271.7,"Muhammad Shoaib Memon",muhammadshoaibmemon,2026-08-23 19:52:52,2
238,2270.9,"Jeki Wan Taufik",jek1wantaufik,2026-08-24 01:20:42,2
239,2269.1,"Kam",kamting,2026-08-21 14:02:39,1
240,2266.9,"Lord Momo",stevenleehans,2026-08-23 11:54:53,2
241,2266.5,"Kanth Da",kanthda,riteeshreddybysani,2026-08-22 05:53:12,2
242,2265.0,"GarrieD",garried,2026-08-24 22:51:11,2
243,2264.9,"KeHao Liu",kehaoliu,2026-08-14 01:52:29,2
244,2264.0,"Pablo César Ruíz",pcruiher08,2026-08-23 18:20:54,2
245,2263.1,"Remielle",remielle,2026-08-24 08:44:22,2
246,2262.6,"Feng Jiahui",junipersky,2026-08-18 08:35:04,2
247,2261.2,"Driz Lo",drizlo,2026-08-24 11:11:58,2
248,2261.1,"Erik van de Ven",erikvdven,2026-08-19 12:10:15,1
249,2260.7,"automatylicza",automatylicza,2026-08-21 00:21:52,2
250,2260.7,"62326368",mooniim,2026-08-23 17:28:44,2
251,2257.8,"Ozi",muhammaduzair21,2026-08-23 12:53:18,2
252,2253.9,"TTANE",otmaneelmahdaouy,2026-08-23 20:42:08,2
253,2252.8,"Aaweg",aawegbhaladhare,2026-08-21 10:30:23,2
254,2251.3,"Sir Dona ",sirdona,2026-08-24 21:56:15,2
255,2251.2,"GO HIROSHIMA 2",gohiroshima2,2026-08-24 16:45:02,2
256,2251.1,"yasu",yasutakababa,2026-08-19 00:47:50,2
257,2248.9,"haodou092",haodou092,2026-08-25 02:18:42,2
258,2248.5,"Kaito Fukami",kaitofukami,2026-08-24 22:59:28,2
259,2248.4,"ComposeMage",composemage,2026-08-25 00:29:42,2
260,2247.6,"senkin13",senkin13,2026-08-24 08:42:00,2
261,2245.8,"yutoAb",yutoab,2026-08-22 10:06:41,2
262,2245.7,"1m0ke",smokelate,2026-08-18 09:25:53,2
263,2245.1,"Efnutrrionpy",efnutrrionpy,2026-08-22 14:24:02,2
264,2244.2,"mtmr_s1",mtmrs1,2026-08-24 15:39:37,2
265,2243.5,"Controlvector",controlvector,2026-08-24 18:24:35,2
266,2240.4,"我的AI是豆包",haoxuanjng,rainhuang0220,2026-08-18 18:35:22,2
267,2239.3,"Boiled-Sweet-Potato",boiledsweetpotato,2026-08-24 07:00:45,2
268,2239.0,"Milkomeda",milkomeda74583,2026-08-19 13:45:02,2
269,2238.1,"PrasadChopade213",prasadchopade213,2026-08-24 10:38:55,2
270,2237.3,"Tian hao Qing Nano7ko",tianhaoqingnano7ko,2026-08-25 05:25:19,2
271,2236.2,"YUK",yu0307,2026-08-24 18:47:22,2
272,2236.2,"d0gied",d0gied,2026-08-17 15:12:08,2
273,2235.4,"Roshan Roy",adhilvt,mohamedarifj,roshanroy333,2026-08-23 15:40:33,2
274,2234.6,"Kenjo1209",kenjo1209,2026-08-24 23:12:32,2
275,2234.6,"Jordi Corbilla",jordicorbilla,2026-08-24 08:21:40,2
276,2233.7,"Amy Yuan",cozytato,2026-08-25 03:50:06,2
277,2232.2,"K.nosaka",kenseinosaka,2026-08-24 11:29:55,2
278,2232.1,"Vishal Khomane",vishal567,2026-08-20 14:06:18,2
279,2231.1,"Wang H2O",wangh2o,2026-08-21 12:29:12,2
280,2229.5,"Emir Can",aerospacer,2026-08-24 11:09:18,2
281,2229.4,"WENJIE_Wang",jenzenhuang,wafflebear,wenjiewangdev,2026-08-24 18:51:51,2
282,2229.0,"Araik Tamazian",atamazian,2026-08-21 12:23:08,2
283,2228.9,"Benjamin Beaujard",benjaminbeaujard,2026-08-18 11:03:03,2
284,2228.4,"StopPlantingStartGameTheorying",mymelodyenjoyer,2026-08-22 21:30:31,2
285,2228.2,"FinalSunFlower",finalsunflower,2026-08-23 06:30:29,2
286,2226.2,"Hello San Francisco",circiumaru,dulgherustefan,radugoga,2026-08-25 00:00:48,2
287,2224.9,"Yassine Ben Zekri",yassinebenzekri,2026-08-25 00:44:29,2
288,2224.7,"LumenLiquidity",giovannibaldon,2026-08-21 07:28:46,2
289,2223.3,"Lợi Trần Bảo",litrnbo,2026-08-24 19:16:38,2
290,2222.7,"Alexander Nord",alexandernord123,2026-08-24 19:59:53,2
291,2220.7,"Yogesh Jadhav",dynamo14324,2026-08-24 05:50:52,2
292,2218.8,"ebisu_ya",ebisuya,2026-08-25 04:47:23,2
293,2218.4,"Audric LOKO",audricloko,2026-08-25 01:20:44,2
294,2214.1,"Oleg Melnik",olegmelnik,2026-08-20 08:11:24,2
295,2212.5,"JovanaLab",choonesenlu,joxitsai,2026-08-18 14:52:15,2
296,2212.3,"hetspookjee",hetspookjee,2026-08-20 21:46:40,2
297,2210.6,"Alexander Shahramanyan",alexshah,2026-08-22 07:07:46,2
298,2206.2,"Gekkotron",gekkotron,2026-08-21 18:27:20,2
299,2201.8,"Bab Kek",babkek,2026-08-23 17:49:26,2
300,2200.1,"darktetradgod",darktetradgod,2026-08-22 18:26:00,2
301,2199.5,"Yizhi",yizhitao,2026-08-19 07:12:23,2
302,2197.9,"notoverkil",notoverkil,2026-08-22 10:07:21,2
303,2197.1,"venks",vterli,2026-08-21 16:01:29,2
304,2196.6,"NCK",drnchaitanyakumar,2026-08-24 09:44:38,2
305,2196.0,"Arthurs Torres24",arthurstorres24,2026-08-24 03:34:26,2
306,2191.3,"CornHub Premium",nihilisticneuralnet,2026-08-17 07:05:40,2
307,2191.0,"AkiraOnojp",akiraonojp,2026-08-24 14:53:00,2
308,2187.9,"lime0001",lime0001,2026-08-18 13:42:05,2
309,2187.6,"lllleeeo",lllleeeo,2026-08-18 07:38:12,2
310,2187.1,"york li13",yorkli13,2026-08-19 01:07:02,2
311,2186.5,"whm8016",whm8016,2026-08-25 02:18:52,2
312,2185.9,"T Hansda",hansda,2026-08-19 14:57:55,2
313,2185.9,"alessandrozonta",azonta,2026-08-24 08:32:41,2
314,2185.2,"IsThereAnyCode",isthereanycode,lynnkim0,2026-08-24 00:53:46,2
315,2184.4,"little_d1d1",littled1d1,2026-08-16 04:24:39,2
316,2184.1,"Blurry",linkinpony,2026-08-23 07:06:20,2
317,2181.5,"Amey Thakur",ameythakur20,2026-08-25 02:59:42,2
318,2180.4,"Khanh",khanhp142,2026-08-24 14:25:43,2
319,2179.8,"boatlee",boatlee,2026-08-24 07:48:25,2
320,2175.7,"Octavi Grau",octaviograu,2026-08-24 20:18:37,2
321,2175.4,"Tian_Wang1210",tianwang1210,2026-08-23 14:35:23,2
322,2174.6,"Semyon Epanov",semyonepanov,2026-08-24 20:48:30,2
323,2173.5,"sword3522",sword3522,2026-08-23 11:15:57,2
324,2172.3,"GPT-5.6 Sol🏆",ctfxiao,gaoruihua,otherworldly777,wennaliu2007,xgentle,2026-08-24 00:54:29,2
325,2172.0,"Krzysztof Madziar",krzysztofmadziar,2026-08-23 18:39:24,2
326,2171.7,"Kunal Desale",kunaldesale2408,2026-08-17 15:49:39,2
327,2171.3,"animal crossing",hoonchoonc,2026-08-25 00:43:44,2
328,2170.5,"Ali Bauyrzhan",alibauyrzhan,2026-08-20 17:33:35,2
329,2170.4,"Alperen Aydın",alperen5252525,2026-08-24 17:12:45,2
330,2170.3,"The Wolf of Wheat Street",lijuantang19,yuemengzheng01,2026-08-25 00:47:25,2
331,2169.1,"Komi ShouKo",asdwswdxd,2026-08-23 06:47:53,2
332,2167.4,"Ignat",ignatgotin,2026-08-24 10:00:09,2
333,2166.6,"Paami",coldpaami,2026-08-24 01:21:00,2
334,2165.7,"ShiviWhivi",blackpearls1,2026-08-18 14:44:19,2
335,2165.4,"Kaggs",ayush21042004,2026-08-25 04:31:09,2
336,2163.8,"Thomas Greissler",thomasg22202020,2026-08-24 00:01:46,2
337,2162.2,"AltriaE",altriae,2026-08-25 03:51:36,2
338,2162.2,"2nod",tsunoten,2026-08-23 03:42:04,2
339,2162.0,"T0m0t0m0 W",t0m0t0m0w,2026-08-24 14:55:03,2
340,2161.9,"Thomas Tschinkel",thomastschinkel,2026-08-25 00:57:39,2
341,2161.8,"Hai Dang",haidang2405,2026-08-24 08:44:43,2
342,2161.3,"Sidharth Hulyalkar",sidharthhulyalkar21,2026-08-24 23:31:44,2
343,2160.2,"sky machine",gunhcolab,hweowe,2026-08-25 02:57:15,2
344,2159.7,"Lebxgue.",yukieja,2026-08-18 04:40:25,2
345,2159.2,"Kaggle Agent",jiweiliu,tonylica,2026-08-24 21:05:52,2
346,2158.0,"Anton Tikhonov",itwastony,2026-08-17 16:05:18,2
347,2158.0,"Benjamin H Pepper",bhpepper,2026-08-24 23:40:24,2
348,2157.7,"我的豆包是ai",a982295350,2026-08-23 04:42:38,2
349,2157.4,"yamakawanin",yamakawanin,2026-08-25 00:37:03,2
350,2154.3,"iVl44d",ivl44d,2026-08-19 22:50:26,2
351,2154.2,"Piyal Chowdhury",piyalchowdhury,2026-08-24 19:20:27,2
352,2153.6,"Jerry Hwa",jerryhwa,2026-08-23 12:20:13,2
353,2151.9,"ZotAZaw3",zotazaw3,2026-08-17 08:27:36,2
354,2151.6,"uuu",vovafinogenov,2026-08-24 10:02:45,2
355,2150.2,"kaguramena",kaguramena,2026-08-25 04:22:13,2
356,2149.6,"sana slama",sanaslamamm,2026-08-15 17:01:13,1
357,2148.6,"Yaroslav",yaroslavrogoza,2026-08-22 16:16:38,2
358,2147.4,"yuanzhe zhou",yuanzhezhou,2026-08-21 14:43:23,2
359,2146.3,"Vextrovis",rattanunt,2026-08-23 03:01:11,2
360,2146.0,"Team Name",baytree1238,2026-08-23 03:25:05,2
361,2144.8,"Plant City Planter",michaellombard,2026-08-25 02:28:29,2
362,2144.8,"Igor Zharov",flexonafft,2026-08-20 14:28:13,2
